"","ThisWeek","LastWeek","Title","Studio","WeeklyGross","PctChange","TheatreCount","TheatreChange","Average","TotalGross","Budget","WeekNum","calYear","calWeek"
"55","55","50","Citizen Koch","Vari.","$49,300","+37.9%","24","+5","$16,600","$142,000","-","4",2014,26
"56","56","71","Yves Saint Laurent","Wein.","$49,200","+268.2%","2","-","$198,900","$62,600","-","1",2014,26
"57","57","46","Venus in Fur","IFC","$47,800","+2.5%","10","+8","$38,600","$94,400","-","2",2014,26
"58","58","48","Only Lovers Left Alive","SPC","$45,100","+13.1%","22","-1","$16,600","$2,009,200","$7","12",2014,26
"59","59","59","A Coffee in Berlin","MBox","$44,300","+79.7%","12","+6","$29,800","$77,500","-","3",2014,26
"60","60","92","Under the Electric Sky","Focus","$42,000","+1,163.4%","9","+8","$37,700","$209,200","-","5",2014,26
"61","61","N","The Internet's Own Boy","FB/Part.","$41,800","-","12","-","$28,100","$41,800","-","1",2014,26
"62","62","39","Supermensch: The Legend of Shep Gordon","RTWC","$39,600","-50.9%","31","-15","$10,300","$213,700","-","4",2014,26
"63","63","74","Code Black","Long Shot","$38,400","+208.6%","2","+1","$155,300","$50,900","-","2",2014,26
"64","64","53","Under the Skin (2014)","A24","$35,900","+3.9%","14","-2","$20,700","$2,912,300","$13.3","13",2014,26
"65","65","49","Ivory Tower","Gold.","$35,800","-3.0%","9","-","$32,100","$101,200","-","3",2014,26
"66","66","41","The Railway Man","Wein.","$31,400","-57.4%","38","-46","$6,700","$5,069,000","-","12",2014,26
"67","67","72","Korengal","Sab.","$27,900","+108.9%","11","+7","$20,500","$68,900","-","5",2014,26
"68","68","51","50 to 1","10F","$27,100","-23.2%","8","-4","$27,300","$891,000","-","15",2014,26
"69","69","55","Night Moves","Cdgm.","$26,500","-5.0%","14","-16","$15,300","$265,500","-","5",2014,26
"70","70","N","Whitey: USA v. James J. Bulger","Magn.","$24,800","-","3","-","$66,900","$24,800","-","1",2014,26
"71","71","-","Under the Sea 3D","WB","$24,600","+16.6%","7","-","$28,400","$37,485,900","-","281",2014,26
"72","72","47","The Lunchbox","SPC","$24,400","-40.4%","16","-10","$12,300","$4,784,500","-","18",2014,26
"73","73","58","A Summer's Tale","BWP","$23,300","-7.6%","2","-","$94,100","$48,500","-","2",2014,26
"74","74","54","Locke","A24","$23,100","-19.9%","15","-3","$12,400","$1,497,300","-","10",2014,26
"75","75","34","Alone Yet Not Alone","S/IMA","$21,000","-84.7%","20","-60","$8,500","$1,018,600","$7","25",2014,26
"76","76","66","Chinese Puzzle","Cohen","$20,300","+19.3%","17","+6","$9,600","$362,800","-","7",2014,26
"77","77","61","Coherence","Osci.","$18,500","-23.9%","4","+2","$37,400","$42,900","-","2",2014,26
"78","78","73","Hellion","IFC","$18,300","+42.5%","6","+3","$24,700","$40,400","-","3",2014,26
"79","79","67","The Last Sentence","MBox","$18,100","+11.4%","6","+4","$24,400","$34,400","-","2",2014,26
"80","80","38","Legends of Oz: Dorothy's Return","CE","$18,100","-78.1%","9","-43","$16,200","$9,682,800","$70","8",2014,26
"81","81","62","Finding Vivian Maier","IFC","$17,600","-27.4%","11","-","$12,900","$1,679,300","-","14",2014,26
"82","82","60","The Dance of Reality","Abk.","$16,300","-33.8%","9","-","$14,600","$242,900","-","6",2014,26
"83","83","52","We Are The Best!","Magn.","$14,800","-57.4%","19","-4","$6,300","$175,200","-","5",2014,26
"84","84","70","Gore Vidal: United States of Amnesia","IFC","$13,300","-4.6%","6","-1","$18,000","$140,900","-","6",2014,26
"85","85","-","Walking with the Enemy","LS","$12,200","+26.9%","19","+9","$5,200","$1,000,100","-","10",2014,26
"86","86","65","Frozen","BV","$11,100","-39.1%","12","-11","$7,500","$459,738,300","$150","32",2014,26
"87","87","N","Radio Free Albemuth","Free","$10,700","-","10","-","$8,700","$10,700","-","1",2014,26
"88","88","83","Jodorowsky's Dune","SPC","$10,600","+87.1%","7","+3","$12,200","$734,600","-","15",2014,26
"89","89","69","The Double (2014)","Magn.","$10,300","-26.9%","9","-5","$9,300","$191,400","-","8",2014,26
"90","90","N","Siddharth","Zeit.","$9,700","-","1","-","$78,200","$9,800","-","1",2014,26
"91","91","56","Palo Alto","Trib.","$9,300","-64.6%","9","-11","$8,400","$863,400","-","8",2014,26
"92","92","-","Redwood Highway","Mont.","$8,900","-26.9%","7","-3","$10,200","$129,000","-","12",2014,26
"93","-","-","No Tears for the Dead","CJ","$8,800","-81.8%","6","-7","$11,800","$72,400","-","3",2014,26
"94","93","-","Ilo Ilo","FM","$8,300","-","2","-","$33,600","$55,900","-","13",2014,26
"95","94","77","Walking the Camino: Six Ways to Santiago","FEF","$8,300","-2.6%","4","-","$16,800","$415,900","-","43",2014,26
"96","95","57","Cold in July","IFC","$7,600","-70.5%","7","-9","$8,800","$472,500","-","6",2014,26
"97","96","-","Born to Be Wild (IMAX)","WB","$6,800","-7.9%","6","-5","$9,100","$27,104,500","-","169",2014,26
"98","97","79","Exhibition","KL","$6,700","-5.8%","1","-","$53,700","$13,700","-","2",2014,26
"99","98","91","The Discoverers","Quad","$6,300","+78.2%","3","+1","$17,000","$34,100","-","7",2014,26
"100","99","N","Archipelago","KL","$6,100","-","1","-","$49,400","$6,100","-","1",2014,26
"101","100","N","Unrelated","KL","$5,100","-","1","-","$41,000","$5,100","-","1",2014,26
"102","101","97","The Pleasures of Being Out of Step","FRun","$4,800","+161.2%","1","-","$39,000","$10,500","-","5",2014,26
"103","102","76","Le Week-End","MBox","$4,800","-45.3%","5","-1","$7,700","$2,552,800","-","16",2014,26
"104","103","81","The Past is a Grotesque Animal","Osci.","$4,600","-62.6%","6","-4","$6,200","$23,000","-","2",2014,26
"105","104","80","Lucky Them","IFC","$4,500","-31.1%","6","-2","$6,000","$34,700","-","5",2014,26
"106","105","N","Nothing Bad Can Happen","Drft.","$4,400","-","8","-","$4,400","$4,400","-","1",2014,26
"107","106","88","Ai Weiwei: The Fake Case","ICir","$4,300","-1.9%","7","+2","$4,900","$44,400","-","7",2014,26
"108","107","-","In Bloom","BWP","$4,200","-362,400.0%","2","-","$16,800","$64,400","-","25",2014,26
"109","108","64","Borgman","Drft.","$4,000","-79.9%","5","-9","$6,500","$46,400","-","4",2014,26
"110","109","-","To the Arctic (IMAX)","WB","$3,500","-61.3%","2","-1","$14,300","$16,161,400","-","115",2014,26
"111","110","82","The Amazing Catfish","Strand","$3,500","-42.3%","3","+1","$9,400","$10,900","-","3",2014,26
"112","111","-","Half of a Yellow Sun","Mont.","$2,100","-78.6%","7","+3","$2,400","$44,100","-","7",2014,26
"113","112","N","Postman Pat: The Movie","Shout!","$1,700","-","2","-","$7,000","$1,700","-","1",2014,26
"114","113","-","To Die is Hard","DWOES","$1,700","-","1","-","$13,800","$4,800","-","17",2014,26
"115","114","95","Test","Vari.","$1,700","-41.9%","2","-2","$6,700","$21,600","-","4",2014,26
"116","115","98","For No Good Reason","SPC","$1,600","-9.5%","5","+1","$2,600","$71,300","-","10",2014,26
"117","116","106","Manakamana","CGld","$1,600","+873.6%","1","-","$12,600","$27,700","-","11",2014,26
