"Title","Studio","calWeeklyGross","totTheatreCount","totGross","totBudget","WeeksOn","startYear","startWeek"
"One Sings, the Other Doesn't","Jan.",19700,3,19700,"         NA","3",2018,22
"One Small Hitch","Free",9100,10,9100,"         NA","1",2015,6
"One Week and a Day","Osci.",43100,40,43100,"         NA","9",2017,17
"Only Lovers Left Alive","SPC",192200,91,2156300,"     700000","23",2014,26
"Only The Brave","Sony",18524300,9337,18564300,"    3800000","9",2017,42
"Only Yesterday (2016 re-release)","GK",482800,185,481300,"         NA","9",2016,1
"Only You","CL",69100,18,69200,"         NA","2",2015,30
"Operation Chromite","CJ",1114700,214,1114700,"         NA","7",2016,32
"Operation Mekong","WGUSA",843700,122,843700,"         NA","8",2016,40
"Operation Red Sea","WGUSA",1561200,189,1527900,"         NA","8",2018,8
"Oro","Sony",4000,11,3900,"         NA","2",2017,48
"Other People","VE",99400,38,96400,"         NA","5",2016,37
"Ouija","Uni.",56799500,12362,56799400,"     500000","8",2014,43
"Ouija: Origin of Evil","Uni.",37063600,10852,37063700,"     900000","9",2016,43
"Our Blood is Wine","MBox",13000,11,12800,"         NA","6",2018,10
"Our Brand Is Crisis (2015)","WB",7461000,5139,7461000,"    2800000","7",2015,44
"Our Kind of Traitor","RAtt.",3434800,1198,3434800,"         NA","9",2016,27
"Our Last Tango","Strand",106600,57,109000,"         NA","9",2016,16
"Our Little Sister","SPC",508200,263,493100,"         NA","9",2016,28
"Our Little Sister (Canadian)","Mon",37300,27,68000,"         NA","8",2015,38
"Our Man in Tehran","FRun",6100,7,6300,"         NA","9",2015,20
"Our President","CJ",38700,7,35500,"         NA","4",2017,22
"Our Time Will Come","CL",118800,38,118900,"         NA","4",2017,27
"Out 1, noli me tangere","CFilms",27600,7,27500,"         NA","2",2015,45
"Outside In","Orch.",67400,43,67400,"         NA","7",2018,13
"Overboard (2018)","PNT",49726100,10028,49726100,"         NA","9",2018,18
"Overdrive","VE",7900,20,7900,"         NA","1",2017,40
"P.K.","UTV",11967100,943,12119600,"         NA","8",2014,51
"Pacific Rim Uprising","Uni.",59753700,12988,58888300,"   15000000","9",2018,12
"Pad Man","Sony",1690300,426,1690200,"         NA","4",2018,6
"Paddington","W/Dim.",86907300,23092,85647600,"    5500000","9",2015,3
"Paddington 2","WB",40927700,15261,40927700,"         NA","9",2018,2
"Padmaavat","VPD",11798100,1397,11798100,"         NA","4",2018,3
"Painted Woman","Amor",8700,7,10000,"         NA","5",2017,48
"Palo Alto","Trib.",26800,37,880800,"         NA","9",2014,26
"Pan","WB",37387500,12363,37910100,"   15000000","9",2015,41
"Pandas","WB",2795600,482,2795600,"         NA","9",2018,14
"Panique (2017 re-release)","Rialto",46700,10,47800,"         NA","4",2017,3
"Papa (Luo shan ji dao dan ji hua)","Jampa",28800,22,28300,"         NA","3",2016,12
"Papa: Hemingway in Cuba","YFG",1184500,694,1184600,"         NA","7",2016,18
"Paper Towns","Fox",35952500,9241,35874900,"    1200000","9",2015,30
"Paradise (2017)","FM",14900,12,15000,"         NA","7",2017,40
"Paradise (2017) [Canada]","CARUSEL",24100,14,24100,"         NA","3",2017,46
"Paradise Club","Indic.",23000,19,22600,"         NA","9",2017,36
"Paranoid Girls","N/A",100,1,100,"         NA","1",2015,46
"Paranormal Activity: The Ghost Dimension","Par.",19221400,5058,19221300,"    1000000","4",2015,43
"Parchi","ADC",70300,29,70300,"         NA","4",2018,2
"Paris Can Wait","SPC",5821300,1990,5831600,"         NA","9",2017,19
"Passengers (2016)","Sony",76845100,18284,104770400,"   11000000","9",2016,51
"Past Life","Orion",186700,94,187000,"         NA","8",2017,22
"Paterson","BST",2130600,607,2229700,"         NA","9",2016,52
"Paths of the Soul","Icar.",32200,21,33300,"         NA","9",2016,20
"Patriots Day","LGF",33142000,9955,33437400,"    4500000","9",2016,51
"Patterns of Evidence: The Exodus","TMF",1882500,652,1056700,"         NA","1",2015,4
