"Title","Studio","calWeeklyGross","totTheatreCount","totGross","totBudget","WeeksOn","startYear","startWeek"
"'71","RAtt.",1420100,518,1368300,"         NA","9",2015,9
"1,000 Rupee Note","KL",2600,1,2600,"         NA","1",2016,39
"1,000 Times Good Night","FM",60200,51,60200,"         NA","4",2014,43
"10 Cloverfield Lane","Par.",77633500,16734,76541700,"         NA","9",2016,11
"10 Days in a Madhouse","CafeP",13000,1,13000,"         NA","1",2015,46
"10,000 Km","BG",14000,11,14000,"         NA","1",2015,28
"1001 Grams","KL",900,2,11700,"         NA","24",2015,41
"102 Not Out","Sony",1328100,366,1328000,"         NA","5",2018,18
"10x10","VE",2200,10,2200,"         NA","1",2018,15
"12 Days","Distrib.",2600,3,2700,"         NA","2",2018,11
"12 Strong","WB",46046600,12713,46046600,"         NA","9",2018,3
"13 Hours: The Secret Soldiers of Benghazi","Par.",57103600,12523,57103700,"    5000000","9",2016,3
"13 Minutes","SPC",167600,132,166300,"         NA","9",2017,26
"1898: Los ultimos de Filipinas","Sony",3000,10,3000,"         NA","1",2017,9
"1915","BM",101700,41,105700,"         NA","8",2015,16
"1945","Men.",823600,308,813700,"         NA","9",2017,43
"2:22","Magn.",400,3,400,"         NA","1",2017,26
"20 Once Again","CJ",255000,29,255000,"         NA","3",2015,3
"20,000 Days on Earth","Drft.",313600,154,319200,"         NA","9",2014,37
"2001: A Space Odyssey (2018 re-release)","WB",1256900,48,1256900,"         NA","8",2018,20
"2015 Oscar Nominated Short Films","Shrts.",2754300,870,2754300,"         NA","7",2015,5
"2016 Oscar Nominated Short Films","Shrts.",3043400,1010,3043300,"         NA","8",2016,5
"20th Century Women","A24",5746000,2050,5896000,"         NA","9",2016,52
"22 Jump Street","Sony",76892200,15860,219136800,"    5000000","9",2014,26
"23 Blast","OAE",613300,785,613400,"         NA","4",2014,43
"24 Frames","Jan.",35000,7,34900,"         NA","7",2018,5
"3 1/2 Minutes, 10 Bullets","Part.",33400,20,33400,"         NA","6",2015,25
"3 Generations","Wein.",152500,43,152500,"         NA","2",2017,18
"3 Hearts","Cohen",177900,88,173500,"         NA","9",2015,11
"3 Idiotas","PNT",1293900,786,1293900,"         NA","4",2017,22
"3 Nights in the Desert","Mont.",1400,3,1300,"         NA","4",2015,6
"3 Weeks in Yerevan","RME",31900,3,31900,"         NA","1",2016,38
"30-Love","N/A",4400,1,4400,"         NA","1",2017,39
"30 Years of Garbage: The Garbage Pail Kids Story","Indic.",28600,26,28100,"         NA","9",2017,32
"31","Saban",844100,853,819700,"         NA","5",2016,35
"33 & Beyond","Gathr",800,1,16700,"         NA","23",2018,11
"4 Days in France","CGld",12200,7,12400,"         NA","8",2017,31
"45 Years","IFC",4586500,1286,4576600,"         NA","9",2015,51
"47 Meters Down","ENTMP",45928900,12262,45971100,"     550000","9",2017,24
"5 Flights Up","Focus",1110100,457,1147100,"         NA","7",2015,19
"5 to 7","IFC",149700,96,149600,"         NA","6",2015,14
"50 to 1","10F",356900,220,1206200,"         NA","30",2014,26
"7 Chinese Brothers","Scre.",31800,18,31700,"         NA","4",2015,35
"7 Days in Entebbe","Focus",3363700,1783,3287900,"         NA","4",2018,11
"7 From Etheria","PDF",1000,1,1000,"         NA","1",2017,27
"7 Witches","Indic.",31400,16,31300,"         NA","9",2017,16
"78/52: Hitchcock's Shower Scene","IFC",37900,48,38000,"         NA","5",2017,41
"90 Minutes in Heaven","Gold.",5399900,2506,5156400,"     500000","7",2015,37
"93Queen","Abr.",44800,5,44900,"         NA","3",2018,29
"99 Homes","BG",1504600,1156,1504400,"     800000","9",2015,39
"A Aa","BSC",2456100,325,2456100,"         NA","2",2016,22
"A Bad Moms Christmas","STX",72818400,22117,72976600,"    2800000","9",2017,43
"A Ballerina's Tale","IFC",100700,54,100800,"         NA","5",2015,42
"A Beautiful Now","Mont.",NA,11,1800,"         NA","7",2016,36
"A Beautiful Planet","Imax",15460200,2717,14806900,"         NA","99",2016,18
"A Beginner's Guide to Snuff","Indic.",21800,17,21800,"         NA","9",2017,25
"A Bigger Splash","FoxS",2150100,892,2204900,"         NA","9",2016,18
"A Bit of Bad Luck","Indic.",19200,21,19100,"         NA","9",2016,20
"A Borrowed Identity","Strand",316200,119,311500,"         NA","9",2015,26
"A Boy Called Po","Free",4700,10,4700,"         NA","1",2017,35
"A Brilliant Young Mind","Gold.",169500,61,164000,"         NA","5",2015,37
"A Ciambra","IFC",31300,14,31400,"         NA","4",2018,3
"A Coffee in Berlin","MBox",139200,62,172400,"         NA","9",2014,26
"A Cure for Wellness","Fox",8501300,5541,8501300,"    4000000","5",2017,7
"A Different American Dream","FRun",1200,1,1200,"         NA","1",2017,1
"A Dog's Purpose","Uni.",67633900,18021,66815100,"    2200000","9",2017,4
"A Fantastic Woman","SPC",2038700,879,1997100,"         NA","9",2018,5
"A Five Star Life","MBox",352200,118,350200,"         NA","9",2014,29
"A Fool (Yi ge shao zi)","CL",8800,2,8800,"         NA","1",2015,48
"A Gentleman","FIP",425600,282,425700,"         NA","3",2017,34
"A Ghost Story","A24",1657100,768,1657200,"      10000","9",2017,27
"A Girl Walks Home Alone at Night","KL",502000,227,479100,"         NA","9",2014,46
"A Hard Day","KL",2500,4,17600,"         NA","13",2015,39
"A Hard Day's Night (2014 re-release)","Jan.",551200,198,551300,"         NA","2",2014,27
"A Hologram for the King","RAtt.",4473200,1926,4588700,"         NA","9",2016,17
"A Journey Through Time with Anthony","CL",134200,30,134200,"         NA","2",2015,47
"A Kid Like Jake","IFC",41300,38,41300,"         NA","5",2018,22
"A Kind of Loving (2017 re-release)","Rialto",7200,1,7200,"         NA","1",2017,14
"A Kind of Murder","Magn.",3100,6,3100,"         NA","2",2016,51
"A La Mala","LGF",4137300,1232,4027700,"         NA","5",2015,9
"A LEGO Brickumentary","RTWC",114200,131,114100,"         NA","4",2015,31
"A Letter to Momo","GK",82100,39,80100,"         NA","9",2014,29
"A Little Chaos","Focus",627200,251,627200,"         NA","4",2015,26
"A Long Way Down","Magn.",15300,9,15300,"         NA","3",2014,28
"A Long Way Off","MVE",3300,3,34500,"      50000","9",2014,28
"A Man Called Ove","MBox",3642800,1264,3648600,"         NA","9",2016,40
"A Master Builder","Abr.",51000,18,51100,"         NA","9",2014,29
"A Matter of Faith","5&2",754000,272,740900,"         NA","9",2014,42
"A Melody to Remember","CJ",47600,18,47600,"         NA","3",2016,5
"A Million Ways to Die in the West","Uni.",1792000,616,49012800,"    4000000","7",2014,26
"A Monster Calls","Focus",3881200,3082,3922800,"         NA","5",2016,52
"A Monster with a Thousand Heads","MBox",20900,16,27100,"         NA","9",2016,20
"A Most Violent Year","A24",6549000,2072,6479200,"    2000000","9",2014,52
"A Most Wanted Man","RAtt.",19768900,4567,19483900,"         NA","9",2014,30
"A Perfect Day","IFC",5400,4,5400,"         NA","2",2016,3
"A Pigeon Sat on a Branch Reflecting on Existence","Magn.",249900,121,242700,"         NA","9",2015,23
"A Poem Is a Naked Person (2015 re-issue)","Jan.",108700,20,108500,"         NA","8",2015,26
"A Question Of Faith","PFR",2612500,1760,2612400,"         NA","9",2017,39
"A Quiet Passion","MBox",1932000,806,1936400,"         NA","9",2017,15
"A Quiet Place","Par.",185819200,28272,185819400,"    1700000","9",2018,14
"A Reason","Indic.",14700,19,16700,"         NA","8",2015,35
"A Royal Night Out","ADC",243100,258,243100,"         NA","3",2015,49
"A Silent Voice","Elev.",313500,245,313500,"         NA","6",2017,42
"A Small Good Thing","KL",1300,2,1300,"         NA","1",2016,34
"A Space Program","Zeit.",14800,1,14800,"         NA","1",2016,12
"A Street Cat Named Bob","Cleopatra",87300,59,87200,"         NA","5",2016,47
"A Summer's Tale","BWP",200600,68,222600,"         NA","9",2014,26
"A Tale of Love and Darkness","Focus",623000,229,611200,"         NA","7",2016,34
"A Tale of Winter (Conte d'hiver)","BWP",26000,10,26200,"         NA","8",2014,51
"A Taxi Driver","WGUSA",NA,206,1580000,"         NA","9",2017,32
"A Touch of Sin","KL",100,1,172100,"         NA","21",2014,43
"A United Kingdom","FoxS",4088200,1446,4041700,"         NA","9",2017,6
"A Walk Among the Tombstones","Uni.",29564300,8368,29058300,"    2800000","5",2014,38
"A Walk in the Woods","BG",32956100,10964,31432100,"         NA","9",2015,35
"A War","Magn.",132700,124,130500,"         NA","9",2016,7
"A Woman's Life","KL",38700,18,39100,"         NA","8",2017,18
"A Woman, a Part","Strand",24500,15,24400,"         NA","9",2017,11
"A Wrinkle in Time","BV",101164700,21046,99300300,"         NA","9",2018,10
"Abacus: Small Enough to Jail","PBS",116300,35,116300,"         NA","9",2017,20
"ABCD (Any Body Can Dance) 2","UTV",1002500,281,1002400,"         NA","4",2015,25
"ABCs of Death 2","Magn.",8100,22,8000,"         NA","4",2014,44
"About Elly","CGld",518100,143,524700,"         NA","9",2015,14
"Above and Beyond","ICir",325700,96,310900,"         NA","9",2015,5
"Abracadabra","Sony",13000,15,14100,"         NA","2",2017,37
"Absolutely Anything","ADC",20900,58,20900,"         NA","3",2017,19
"Absolutely Fabulous: The Movie","FoxS",5198300,1147,5198300,"         NA","9",2016,30
"Abuse of Weakness","Strand",36200,26,35300,"         NA","9",2014,33
"Accident","Rialto",1200,1,19300,"         NA","6",2014,27
"Accidental Courtesy: Daryl Davis, Race & America","FRun",2000,1,2000,"         NA","1",2017,1
"Action Jackson (2014)","Eros",286900,250,286900,"         NA","2",2014,49
"Action Point","Par.",5000300,4064,5000300,"    1900000","2",2018,22
"Actress (2014)","CGld",21900,15,22100,"         NA","7",2014,45
"Adderall Diaries","A24",14000,61,14000,"         NA","2",2016,16
"Addicted","LGF",19423200,3871,19423200,"         NA","8",2014,41
"Adrift","STX",31076300,10052,31076300,"    3500000","9",2018,22
"Adult Beginners","RTWC",112800,109,117800,"         NA","6",2015,17
"Advanced Style","B360",98600,43,100300,"         NA","9",2014,39
"Ae Dil Hai Mushkil","FIP",4498000,781,4497900,"         NA","4",2016,44
"Aferim!","BWP",116500,65,117800,"         NA","9",2016,4
"After Auschwitz","Passion Rive",72900,40,73000,"         NA","7",2018,15
"After Love","Distrib.",4900,6,14200,"         NA","7",2017,31
"After The Ball","Free",183600,95,174200,"         NA","9",2015,9
"After the Storm","FM",282100,171,282500,"         NA","9",2017,11
"Afterimage","FM",34300,22,34700,"         NA","7",2017,20
"Aftermath (2014)","Free",3800,2,3900,"         NA","2",2014,48
"Afternoon of a Faun","KL",1400,3,197500,"         NA","28",2014,28
"Against the Sun","TAFC",5300,11,5300,"         NA","1",2015,4
"Agent Mr. Chan","CL",208700,27,208600,"         NA","5",2018,8
"Ai Weiwei: The Fake Case","ICir",11700,15,51900,"         NA","9",2014,26
"Aida's Secrets","MBox",95900,45,99100,"         NA","9",2017,42
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","BV",74826100,19082,76436600,"    2800000","9",2014,41
"Algorithms","FRun",2300,2,2300,"         NA","2",2014,42
"Alice Through the Looking Glass","BV",81855400,13748,83921700,"   17000000","9",2016,22
"Alien: Covenant","Fox",76918900,13537,77089500,"    9700000","9",2017,20
"Alive and Kicking","Magn.",71000,74,70900,"         NA","9",2017,14
"Alive Inside","B360",293600,148,286700,"         NA","9",2014,29
"All Eyez on Me","LG/S",46537900,7150,46632700,"    4000000","7",2017,24
"All I See is You","ORF",219800,336,219800,"    3000000","2",2017,43
"All Saints","Affirm",6018500,3910,5859100,"     200000","9",2017,34
"All the Money in the World","TriS",25399400,8658,25415300,"         NA","9",2017,51
"All the Queen's Horses","Argo.",16300,2,16300,"         NA","2",2017,45
"All The Rage: Saved by Sarno","TFC",18800,2,18800,"         NA","2",2017,25
"All These Sleepless Nights","Orch.",21500,21,21500,"         NA","6",2017,14
"All Things Must Pass","Grav.",180500,63,180500,"         NA","8",2015,42
"Alleluia","MBox",7100,11,7100,"         NA","5",2015,29
"Allied","Par.",41989100,13484,42048500,"    8500000","9",2016,47
"Almost Christmas","Uni.",44275600,9402,44209500,"    1700000","9",2016,46
"Almost Friends","Orion",1500,12,1500,"         NA","1",2017,46
"Almost Holy","Orch.",11100,16,23000,"         NA","8",2016,21
"Aloft","SPC",59300,109,59600,"         NA","9",2015,21
"Aloha","Sony",23671800,8228,23671800,"    3700000","9",2015,22
"Alone in Berlin","IFC",32300,13,32300,"         NA","4",2017,2
"Alone Yet Not Alone","S/IMA",21000,20,1018600,"     700000","25",2014,26
"Along with the Gods: The Last 49 Days","WGUSA",909000,130,909000,"         NA","2",2018,30
"Along with the Gods: The Two Worlds","WGUSA",1930600,163,1931700,"         NA","9",2017,51
"Already Tomorrow in Hong Kong","Grav.",22100,11,22100,"         NA","1",2016,7
"Altered Perception","Cdgm.",1200,10,1200,"         NA","1",2018,18
"Alvin and the Chipmunks: The Road Chip","Fox",91961400,19912,92531300,"         NA","9",2015,51
"Always at the Carlyle","Good Deed",170500,90,170500,"         NA","9",2018,19
"Always Shine","Osci.",17900,24,17900,"         NA","7",2016,48
"Amanda & Jack Go Glamping","Orion",3400,12,3400,"         NA","1",2017,45
"Amelia 2.0","TriCoast",10600,1,10600,"         NA","1",2017,31
"America (2014)","LGF",16571700,5861,16571800,"         NA","9",2014,26
"American Animals","Orch.",2807100,1045,2807000,"         NA","9",2018,22
"American Assassin","LGF",37412200,12450,36605100,"    3300000","8",2017,37
"American Honey","A24",699500,361,699500,"         NA","9",2016,40
"American Made","Uni.",51845400,14604,51845400,"    5000000","9",2017,39
"American Pastoral","LGF",573800,256,573800,"         NA","6",2016,43
"American Satan","Sumerian",240000,159,240000,"         NA","4",2017,41
"American Sniper","WB",399351700,35297,393414700,"    5880000","9",2014,51
"American Socialist: The Life & Times of Eugene Victor Debs","FRun",7900,4,12500,"         NA","6",2018,17
"American Ultra","LGF",16221200,8241,16126900,"    2800000","7",2015,34
"Americons","AD",32800,15,32900,"         NA","2",2015,4
"AmeriGeddon","Forewarned",30600,11,308300,"         NA","4",2016,25
"Amira & Sam","Drft.",35200,28,35200,"         NA","5",2015,5
"Amnesia","FM",9000,4,9000,"         NA","4",2017,29
"Among the Believers","FRun",4500,2,4400,"         NA","2",2016,40
"Amour Fou","FM",NA,20,15400,"         NA","8",2015,11
"Amy","A24",9444500,2115,9285000,"         NA","9",2015,27
"An Eye for Beauty","MR",9700,4,9600,"         NA","4",2015,35
"An Honest Liar","Abr.",200300,89,202900,"         NA","9",2015,10
"An Inconvenient Sequel: Truth to Power","Par.",3630000,1461,3629900,"     100000","6",2017,30
"Anatahan (2017 re-release)","KL",500,2,8500,"         NA","9",2017,13
"And So It Goes","CE",17393200,5603,17375500,"         NA","9",2014,30
"Anesthesia","IFC",28900,24,29000,"         NA","6",2016,2
"Animals (2015)","Osci.",23600,17,24500,"         NA","3",2015,20
"Annabelle","WB (NL)",94122700,15012,94122700,"     650000","9",2014,40
"Annabelle: Creation","WB (NL)",105956000,20808,105122700,"    1500000","9",2017,32
"Annie (2014)","Sony",97295100,16086,98018700,"    6500000","9",2014,51
"Annihilation","Par.",33103500,7905,32348400,"    4000000","8",2018,8
"Anomalisa","Par.",4060500,1394,4061600,"     800000","9",2015,52
"Anonymous (2016)","AD",11800,15,11900,"         NA","2",2016,49
"Another WolfCop","PDF",6000,6,6000,"         NA","1",2017,48
"Ant-Man","BV",202346500,25916,199871600,"   13000000","9",2015,29
"Ant-Man and the Wasp","BV",203332900,19299,203332900,"         NA","6",2018,27
"Antarctic Edge","FRun",7800,4,8100,"         NA","9",2015,16
"Antarctica: A Year on Ice","MBox",305400,127,329700,"         NA","8",2014,48
"Antarctica: Ice & Sky","MBox",15200,14,15200,"         NA","5",2017,3
"Anthropoid","BST",3229600,1122,3229600,"         NA","6",2016,33
"Anything","Pala.",18700,35,18800,"         NA","4",2018,19
"Anything For Alice","Rialto",400,1,400,"         NA","-",2014,50
"Apocalypsis","Indic.",19800,17,19800,"         NA","9",2018,9
"Apparition Hill","LFlower",178500,63,179000,"         NA","7",2016,32
"Apprentice","FM",2800,11,2700,"         NA","7",2017,9
"Approaching the Unknown","INDEP",10900,11,10900,"         NA","1",2016,23
"Appropriate Behavior","Grav.",53400,18,53500,"         NA","5",2015,3
"April and the Extraordinary World","GK",313900,186,313800,"         NA","9",2016,13
"Aquarius","Vita.",289400,108,289500,"         NA","5",2016,42
"Arabian Nights: Volume 1 - The Restless One","KL",12600,10,13200,"         NA","8",2015,49
"Arabian Nights: Volume 2 - The Desolate One","KL",6500,9,6900,"         NA","9",2015,50
"Arabian Nights: Volume 3 - The Enchanted One","KL",4900,14,4900,"         NA","8",2015,51
"Araby","Ghop",33300,15,33200,"         NA","7",2018,25
"Archipelago","KL",8900,3,8900,"         NA","4",2014,26
"Architects of Denial","Da.",66100,11,66100,"         NA","1",2017,40
"Ardor","Part.",20000,17,20000,"         NA","1",2015,29
"Are We Not Cats","Cleopatra",5600,2,5600,"         NA","1",2018,8
"Argentina","FRun",16000,8,16200,"         NA","6",2016,25
"Arise from Darkness","Indic.",6400,5,6400,"         NA","6",2017,1
"Arrival","Par.",103430500,18728,105437000,"    4700000","9",2016,46
"Art and Craft","Osci.",263700,111,268300,"         NA","9",2014,38
"As Above/So Below","Uni.",24334400,9237,23841200,"         NA","6",2014,35
"As I Open My Eyes","KL",33200,19,32700,"         NA","9",2016,37
"As It Is In Heaven","N/A",12400,5,12400,"         NA","4",2014,29
"Assassin's Creed","Fox",42115900,10569,57306200,"   12500000","9",2016,51
"Assassination (2015)","WGUSA",2138000,154,2133600,"         NA","8",2015,32
"Asura: The City of Madness","CJ",185200,55,185300,"         NA","4",2016,41
"Atlas Shrugged Part III: Who Is John Galt?","ADC",969900,517,945700,"         NA","3",2014,37
"Atomic Blonde","Focus",53652500,12894,53537500,"    3000000","9",2017,30
"Attack on Titan: Part 1","FUN",453600,290,453600,"         NA","-",2015,39
"Attack on Titan: Part 2","FUN",259300,230,259300,"         NA","-",2015,42
"Author: The JT LeRoy Story","Magn.",93100,113,90700,"         NA","7",2016,37
"Auto Shop of Horrors","DWOES",2300,2,2300,"         NA","4",2016,39
"Automatic Hate","FM",4900,5,5000,"         NA","2",2016,11
"Ava","Ghop",18100,19,18100,"         NA","8",2018,17
"Avengers: Age of Ultron","BV",496194700,29762,515564200,"   25000000","9",2015,18
"Avengers: Infinity War","BV",670534200,33998,670534200,"         NA","9",2018,17
"Awake: The Life of Yogananda","CF&SR",1535600,329,1730000,"         NA","9",2014,41
"Baaghi","UTV",465200,167,465300,"         NA","4",2016,18
"Baaghi 2","FIP",1304000,294,1304100,"         NA","3",2018,13
"Baahubali 2: The Conclusion","GrtIndia",20908400,1455,20908400,"         NA","4",2017,17
"Baahubali: The Beginning","BSC",7571000,446,7571100,"         NA","2",2015,28
"Baar Baar Dekho","Eros",1069700,438,1069600,"         NA","3",2016,37
"Baby Driver","TriS",111902000,24948,111633100,"    3400000","9",2017,25
"Back in Time (Congcong Nanian)","CL",637500,55,649900,"         NA","5",2014,50
"Back to Burgundy","MBox",255200,127,254600,"         NA","9",2018,12
"Back to the Jurassic","CJ",4900,9,4900,"         NA","1",2015,23
"Bad Grandmas","PDF",14600,11,14600,"         NA","3",2017,44
"Bad Lucky Goat","FM",5100,12,5100,"         NA","7",2017,41
"Bad Match","Orion",3400,10,3400,"         NA","1",2017,44
"Bad Moms","STX",123329700,22774,122045300,"    2000000","9",2016,31
"Bad Samaritan","Electric",3394800,3601,3394800,"         NA","3",2018,18
"Bad Santa 2","BG",18682400,11045,18652400,"    2600000","9",2016,47
"Badlapur","Eros",467100,246,467100,"         NA","3",2015,8
"Badrinath Ki Dulhania","FIP",2089500,439,2064500,"         NA","5",2017,10
"Badsville","EpicPics",4200,2,4200,"         NA","2",2017,48
"Bag of Marbles","Gaum.",407100,129,406500,"         NA","9",2018,12
"Bajirao Mastani","Eros",7004500,2116,7080000,"         NA","7",2015,51
"Bajrangi Bhaijaan","Eros",9189100,2056,9189100,"         NA","8",2015,29
"Ballerina (2017) [Canada Only]","EOne",1391900,314,1391900,"         NA","2",2017,8
"Ballet 422","Magn.",378000,172,359100,"         NA","9",2015,6
"Band Aid","IFC",257300,136,257800,"         NA","9",2017,22
"Band of Outsiders (2016 re-issue)","Rialto",40600,12,41400,"         NA","9",2016,19
"Band of Robbers","Grav.",22200,11,22200,"         NA","1",2016,3
"Bandstand: The Broadway Musical","Fathom",845300,625,845300,"         NA","-",2018,25
"Bang Bang","FIP",2686500,778,2686500,"         NA","2",2014,39
"Bang! The Bert Berns Story","Abr.",60200,19,60100,"         NA","6",2017,16
"Bangistan","Eros",54700,82,54700,"         NA","2",2015,32
"Banjo","Eros",27800,60,27400,"         NA","2",2016,39
"Barbershop: The Next Cut","WB (NL)",57375200,12345,58855300,"         NA","9",2016,16
"Barely Lethal","A24",3700,22,6800,"         NA","6",2015,23
"Batkid Begins","WB (NL)",84000,39,83900,"         NA","6",2015,26
"Batman v Superman: Dawn of Justice","WB",354676000,25005,350794800,"   25000000","9",2016,13
"Batman: The Killing Joke","Fathom",4112100,1325,4112100,"         NA","-",2016,30
"Battle of Memories","CL",615800,121,615800,"         NA","6",2017,17
"Battle of the Sexes","FoxS",12781700,5644,12762400,"         NA","9",2017,38
"Baywatch","Par.",60138400,15532,60270800,"    6900000","9",2017,20
"Be Here Now: The Andy Whitfield Story","TUG",23800,17,23800,"         NA","4",2016,15
"Be Somebody","TUG",16300,15,16300,"         NA","1",2016,24
"Beach Rats","Neon",490300,202,478400,"         NA","9",2017,34
"Bears","BV",106400,105,20398800,"         NA","13",2014,26
"Beast","RAtt.",791100,375,791000,"         NA","8",2018,19
"Beasts of No Nation","BST",96700,52,96700,"         NA","2",2015,42
"Beatriz At Dinner","RAtt.",7378400,2271,7384600,"         NA","9",2017,23
"Beautiful Accident","CL",52600,22,52600,"         NA","2",2017,22
"Beauty and the Beast (2016 re-issue)","Jan.",23500,4,23500,"         NA","2",2016,7
"Beauty and the Beast (2017)","BV",526519400,35872,523204000,"   16000000","9",2017,11
"Beauty and the Dogs","Osci.",7200,7,7200,"         NA","5",2018,12
"Because of Gracia","AAE",94300,62,91800,"         NA","4",2017,37
"Before I Disappear","IFC",9200,9,9200,"         NA","3",2014,48
"Before I Fall","ORF",12833500,7100,12678800,"         NA","8",2017,9
"Before I Go To Sleep","CE",3621400,2771,3621400,"         NA","3",2014,44
"Before We Go","RTWC",41700,40,41300,"         NA","4",2015,36
"Before We Vanish","Super",52600,56,52700,"         NA","6",2018,5
"Begin Again","Wein.",18550800,5748,18504900,"         NA","9",2014,26
"Behind the White Glasses","KL",2300,4,2300,"         NA","7",2017,16
"Being 17","Strand",55600,29,55600,"         NA","9",2016,41
"Being Charlie","Pala.",32200,22,32300,"         NA","4",2016,19
"Beirut","BST",4960300,2731,4960400,"         NA","9",2018,14
"Believe (2016)","Free",936300,1073,936400,"         NA","4",2016,49
"Believe Me","Riot",26100,15,26200,"         NA","2",2014,39
"Believer","WGUSA",361200,62,361200,"         NA","4",2018,23
"Belle","FoxS",1521800,615,12306400,"         NA","9",2014,26
"Belle de jour (2018 re-release)","Jan.",26300,4,26000,"         NA","4",2018,12
"Beloved Sisters","MBox",61500,37,60900,"         NA","9",2015,2
"Ben-Hur (2016)","Par.",28766300,10111,28683900,"   10000000","7",2016,34
"Bending the Arc","Abr.",20900,10,21000,"         NA","4",2017,40
"Beside Bowie: The Mick Ronson Story","PDF",7800,3,7800,"         NA","2",2017,34
"Best and Most Beautiful Things","FRun",3200,3,3200,"         NA","2",2016,49
"Best of Enemies","Magn.",1001100,409,964700,"         NA","9",2015,31
"Best Worst Thing That Ever Could Have Happened","Abr.",107400,26,109500,"         NA","8",2016,47
"Beta Test","Mirror",11000,19,11000,"         NA","2",2016,30
"Better Watch Out","WGUSA",20500,30,20600,"         NA","3",2017,40
"Beuys","KL",66100,38,64600,"         NA","9",2018,2
"Beyond the Farthest Star","Gathr",1500,1,33500,"         NA","113",2015,50
"Beyond the Lights","Rela.",16330500,6298,16689100,"     700000","9",2014,46
"Beyond the Mask","Gathr",1354500,409,1388900,"         NA","9",2015,14
"Beyond the Reach","RAtt.",49400,35,49400,"         NA","2",2015,16
"Bhavesh Joshi Superhero","Eros",56700,46,56700,"         NA","1",2018,22
"Bhopal: A Prayer for Rain","Rvl",14100,3,14100,"         NA","2",2014,45
"Bicycling with Moliere","Strand",6700,8,68700,"         NA","15",2014,26
"Big Eyes","Wein.",16498400,6380,16533100,"         NA","9",2014,51
"Big Game","EC",27800,11,27800,"         NA","1",2015,26
"Big Hero 6","BV",249181700,32090,253481000,"   16500000","9",2014,45
"Big Muddy","Mont.",NA,13,1000,"         NA","9",2015,4
"Big Sonia","Argo.",182800,41,210000,"         NA","9",2017,46
"Big Stone Gap","PH",1075400,620,1075400,"         NA","9",2015,41
"Bikes vs Cars","KL",1300,2,29800,"         NA","26",2016,22
"Bilal: A New Breed of Hero","VE",496900,412,496900,"         NA","4",2018,5
"Bill Nye: Science Guy","PBS",74500,46,75800,"         NA","8",2017,43
"Billy Lynn's Long Halftime Walk","TriS",1833400,2445,1833400,"         NA","5",2016,46
"Bird People","IFC",28700,13,28200,"         NA","4",2014,37
"Birdboy: The Forgotten Children","GK",39300,25,39300,"         NA","8",2017,50
"Birdman","FoxS",47762100,11666,48214800,"    1800000","9",2014,42
"Birth of the Dragon","BH Tilt",7164700,4275,7164700,"         NA","5",2017,34
"Birthright: A War Story","Abr.",7800,2,7800,"         NA","3",2017,28
"Bitter Harvest","RAtt.",584400,270,583400,"         NA","6",2017,8
"Bjork - Biophilia Live","CP",141600,74,141600,"         NA","7",2014,39
"Black Butler: Book of the Atlantic","FUN",257200,3,257200,"         NA","-",2017,23
"Black Mass","WB",68482800,13669,66675500,"    5300000","9",2015,38
"Black or White","Rela.",24614000,8053,24409900,"     900000","9",2015,5
"Black Panther","BV",707027400,40236,691849900,"         NA","9",2018,7
"Black Panthers: Vanguard of the Revolution","PBS",560700,98,550800,"         NA","9",2015,35
"Black Sea","Focus",1337500,773,1337500,"         NA","5",2015,4
"Black Souls (Anime Nere)","Alc",108900,59,113600,"         NA","8",2015,15
"Blackbird","Imag.",82300,27,82300,"         NA","3",2015,17
"Blackhat","Uni.",9006800,5371,9006700,"    7000000","3",2015,3
"blackhats (2015)","R1",3400,1,3400,"         NA","1",2015,43
"BlacKkKlansman","Focus",15821700,1512,15821700,"    1500000","1",2018,32
"Blackway","Electric",28800,11,28800,"         NA","1",2016,24
"Blade of the Immortal","Magn.",152000,97,152000,"         NA","6",2017,44
"Blade Runner 2049","WB",92957800,18461,93159600,"   15000000","9",2017,40
"Blair Witch","LGF",22520800,9147,21911600,"     500000","6",2016,38
"Bleed for This","ORF",5361600,3957,5361500,"     600000","4",2016,47
"Blended","WB",3834000,1961,53112800,"    4000000","9",2014,26
"Blindspotting","LG/S",3867100,1198,3867100,"         NA","4",2018,29
"Blockers","Uni.",59442700,16194,59442500,"    2100000","9",2018,14
"Blood Feast","Hann.",6000,3,8600,"     120000","4",2018,14
"Blood on the Mountain","Abr.",4900,2,4900,"         NA","1",2016,47
"Blue Jay","Orch.",22900,7,22800,"         NA","4",2016,41
"Bluebeard","WGUSA",45300,20,45200,"         NA","2",2017,11
"Bob Le Flambeur (2017 re-release)","Rialto",12000,6,15800,"         NA","9",2018,1
"Bobbi Jene","Osci.",18500,7,18200,"         NA","4",2017,38
"Body","Osci.",2800,1,2800,"         NA","1",2015,50
"Bomb City","Grav.",51100,37,51100,"         NA","3",2018,6
"Bombay Velvet","FIP",485200,346,485200,"         NA","2",2015,20
"BOMBSHELL: The Hedy Lamarr Story","Zeit.",824600,359,810700,"         NA","9",2017,47
"Boo! A Madea Halloween","LGF",77203900,10057,77204000,"    2000000","9",2016,43
"Book Club","Par.",67762200,15426,67762200,"         NA","9",2018,20
